iter	Passed	Remaining
792	15848	4136
793	15868	4116
794	15887	4096
795	15906	4076
796	15925	4056
797	15943	4035
798	15961	4015
799	15981	3995
800	16000	3975
801	16019	3954
802	16039	3934
803	16057	3914
804	16075	3894
805	16096	3874
806	16115	3854
807	16136	3834
808	16155	3814
809	16174	3794
810	16197	3774
811	16217	3754
812	16237	3734
813	16257	3714
814	16276	3694
815	16296	3674
816	16315	3654
817	16336	3634
818	16354	3614
819	16372	3593
820	16391	3573
821	16410	3553
822	16431	3533
823	16450	3513
824	16470	3493
825	16489	3473
826	16509	3453
827	16528	3433
828	16547	3413
829	16565	3392
830	16584	3372
831	16604	3352
832	16623	3332
833	16643	3312
834	16662	3292
835	16681	3272
836	16700	3252
837	16719	3232
838	16738	3212
839	16757	3191
840	16775	3171
841	16794	3151
842	16816	3131
843	16835	3111
844	16858	3092
845	16878	3072
846	16896	3052
847	16915	3031
848	16933	3011
849	16951	2991
850	16973	2971
851	16993	2951
852	17012	2931
853	17031	2911
854	17050	2891
855	17069	2871
856	17091	2851
857	17110	2831
858	17131	2812
859	17150	2791
860	17169	2771
861	17188	2751
862	17207	2731
863	17227	2711
864	17246	2691
865	17268	2671
866	17292	2652
867	17311	2632
868	17330	2612
869	17349	2592
870	17369	2572
871	17387	2552
872	17407	2532
873	17430	2512
874	17449	2492
875	17469	2472
876	17488	2452
877	17507	2432
878	17529	2413
879	17548	2392
880	17570	2373
881	17594	2353
882	17613	2333
883	17633	2313
884	17654	2294
885	17672	2273
886	17694	2254
887	17718	2234
888	17738	2214
889	17761	2195
890	17783	2175
891	17803	2155
892	17823	2135
893	17843	2115
894	17861	2095
895	17880	2075
896	17899	2055
897	17918	2035
898	17939	2015
899	17958	1995
900	17977	1975
901	17999	1955
902	18019	1935
903	18038	1915
904	18057	1895
905	18077	1875
906	18095	1855
907	18114	1835
908	18133	1815
909	18152	1795
910	18170	1775
911	18190	1755
912	18209	1735
913	18228	1715
914	18247	1695
915	18266	1675
916	18285	1655
917	18304	1635
918	18325	1615
919	18347	1595
920	18365	1575
921	18384	1555
922	18403	1535
923	18422	1515
924	18441	1495
925	18460	1475
926	18480	1455
927	18498	1435
928	18516	1415
929	18536	1395
930	18555	1375
931	18574	1355
932	18593	1335
933	18612	1315
934	18631	1295
935	18650	1275
936	18668	1255
937	18687	1235
938	18707	1215
939	18727	1195
940	18748	1175
941	18767	1155
942	18786	1135
943	18807	1115
